	Gene	wt	00-06	06-12	12-18	18-24	24-30	30-36
YGR276C	RNH70	17.71	18.31	75.31	32.42	21.78	10.88	12.62
YGR277C	YGR277C	12.74	19.45	41.34	24.58	38.64	11.21	8.95
YGR278W	CWC22	5.16	7.4	27.11	10.83	6.74	3.34	6.91
YGR279C	SCW4	39.16	36.37	81.02	35.9	5.12	10.82	171.23
YGR280C	PXR1	9.89	13.11	19.05	22.34	24.14	25.25	25.76
YGR281W	YOR1	11.15	12.03	21.13	9.05	11	8.2	3.17
YGR282C	BGL2	53.78	40.84	278.06	40.5	14.15	22.09	78.04
YGR283C	YGR283C	3.79	7.99	19.72	7.96	15.13	18.27	13.87
YGR284C	ERV29	57.6	59.32	115.97	24.87	72.22	52.22	50.97
YGR285C	ZUO1	57.25	68.68	66.82	31.26	14.59	18.59	42.45
YGR286C	BIO2	14.44	18.03	34.42	12.88	12.35	20.2	11.19
YGR294W	PAU12	2.48	8.79	3.97	0.23	0.23	0.23	0.23
YGR295C	COS6	22.23	40.11	23.91	11.74	21.91	16.58	12.67
YHL048W	COS8	12.1	17.07	45.19	10.1	9.74	7.95	7.55
YHL047C	ARN2	9.51	7.51	43.79	20.5	7.79	6.44	6.05
YHL046C	PAU13	2.31	8.48	3.78	0.23	0.23	0.23	0.23
YHL040C	ARN1	11.41	10.66	41.89	19.36	23.07	13.42	8.64
YHL036W	MUP3	3.04	3.64	19.5	3.61	0.23	0.23	2.1
YHL035C	VMR1	6.92	11.42	28.8	10.11	11.68	6.58	5.27
YHL034C	SBP1	57.87	56.38	60.51	28.34	15.84	20.7	39.06
YHL032C	GUT1	16.33	15.79	46.16	22.64	12.8	13.7	11.74
YHL031C	GOS1	6.16	7.89	14.46	6.05	2.02	2.68	3.17
YHL030W	ECM29	18.03	15.61	32.82	9.97	11.2	6.63	8.63
YHL027W	RIM101	10.34	10.82	89.89	8.93	8.89	21.3	25.56
YHL025W	SNF6	8.39	8.5	43.7	11.84	6.8	4.69	7.43
YHL023C	RMD11	9.79	11.81	25.04	6.35	5.68	6.22	8.5
YHL021C	FMP12	13.13	18.08	31.8	0.23	1.11	8.24	41.38
YHL020C	OPI1	8.39	7.87	71.82	16.57	5.74	10.36	11.35
YHL019C	APM2	10.74	12.1	42.43	9.99	8.48	6.3	11.09
YHL014C	YLF2	6.39	8.37	19.05	0.23	3.47	4.6	4.57
YHL013C	OTU2	6.53	12.17	29.99	12.28	20.37	13.81	13.49
YHL011C	PRS3	24.7	23.9	89.28	28.61	29.96	33.28	48.61
YHL009C	YAP3	6.45	8.67	26.07	10.46	17.28	11.16	10.7
YHL007C	STE20	9.43	11.05	24.58	2.82	10.64	12.67	7.19
YHL004W	MRP4	3.75	8.95	12.58	0.23	6.64	5.05	3.26
YHL003C	LAG1	16.76	21.12	57.35	12.31	11.76	17.59	24.09
YHL002W	HSE1	21.88	21.38	36.92	16.21	11.3	16.68	57.56
YHR001W	OSH7	14.87	23.32	20.29	7.96	24.82	25.48	12.95
YHR001W-A	QCR10	7.28	7.86	6.3	0.23	5.61	5.74	6.59
YHR003C	YHR003C	9.42	11.23	48.07	16.16	15.98	16.01	15.5
YHR004C	NEM1	3.75	6.15	43.63	3.34	4.64	9.21	4.81
YHR005C	GPA1	9.75	7.95	37.88	9.35	6.57	8.42	14.57
YHR005C-A	MRS11	11.22	11.77	16.92	6.36	3.77	3.62	3.94
YHR006W	STP2	4.87	7.43	19.08	3.87	2.32	6.21	7.02
YHR007C	ERG11	27.16	34.25	87.31	30.21	9.73	12.66	20.73
YHR011W	DIA4	5.36	6.31	23.43	2.5	2.81	2.37	6.11
YHR012W	VPS29	13.87	20.12	339.02	25.88	23.94	25.59	18.87
YHR013C	ARD1	14.5	19.17	42.58	16.47	19.86	14	14.64
YHR016C	YSC84	22.83	30.89	61.5	13.61	6.69	8.16	11.01
YHR017W	YSC83	9.64	12.35	52.5	8.46	3.75	4.96	11.95
YHR018C	ARG4	21.56	24.11	173.07	35.45	21.65	22.25	26.66
YHR019C	DED81	70.78	62.97	143.06	39.25	13.21	19.35	136.96
YHR020W	YHR020W	44.37	43.96	89.05	29.58	7.88	20.07	67.13
YHR023W	MYO1	9.31	10.26	23.6	6.29	2.54	5.45	9.35
YHR024C	MAS2	10.86	13.44	87.69	29.41	14.5	22.08	11.66
YHR025W	THR1	60.25	47.18	102.31	31.07	19.98	26.09	73.83
YHR026W	PPA1	55.81	51.24	1001.21	45.09	31.79	29.26	89.27
YHR027C	RPN1	26.88	30.19	56.96	16.43	14.38	16.28	21.82
YHR028C	DAP2	22.22	31.62	28.89	11.65	10.6	13.14	14.23
YHR029C	YHI9	99.32	108.51	62.27	22.75	24.17	19.17	34.01
YHR030C	SLT2	8.85	14.11	72.63	13.72	6.56	7.42	14.1
YHR031C	RRM3	11.41	10.6	47.2	6.93	4.11	13.25	22.17
YHR034C	PIH1	9.55	11.84	29.74	16.21	13.64	5.46	13.07
