	Gene	wt	00-06	06-12	12-18	18-24	24-30	30-36
YIL121W	QDR2	13.18	11.77	7.35	10.39	12.82	11.34	8.16
YIL119C	RPI1	29.4	20.04	2.06	2.84	116.39	26.16	56.12
YIL118W	RHO3	31.85	36.29	11.68	38.59	35.79	42.35	45.34
YIL117C	PRM5	10.49	13.25	2.3	9.76	24.06	18.06	19.09
YIL116W	HIS5	9.88	11.68	5.4	10.42	12.42	11.64	14.57
YIL115C	NUP159	21.08	23.44	11.47	17.85	26.76	24.05	15.83
YIL114C	POR2	8	8.16	4.65	10.95	28.72	18.9	11.97
YIL112W	HOS4	14.69	11.73	1.63	3.63	15.05	10.88	8.77
YIL111W	COX5B	4.09	3.66	4.97	33.23	68.47	91.61	39.54
YIL109C	SEC24	20.42	24.19	12.71	23.99	37.15	34.64	18.48
YIL107C	PFK26	4.76	4.69	2.56	32.68	119.23	47.44	27.07
YIL106W	MOB1	30.38	29.68	9.21	43.34	51.63	42.81	29.83
YIL105C	SLM1	10.79	9.29	2.37	169.35	770.45	53.33	29.5
YIL104C	SHQ1	12.38	12.52	1.11	2.42	5.38	5.94	3.06
YIL103W	DPH1	14.39	13.94	3.15	6.39	8.94	7.73	4.98
YIL098C	FMC1	11.78	12.53	1.82	4.84	10.38	179.88	21.38
YIL095W	PRK1	7.15	6.99	1.27	6.46	31.3	11.87	13.89
YIL094C	LYS12	52.44	46.99	31.94	46.04	64.49	45.89	25.51
YIL093C	RSM25	8.26	7.86	1.21	2.25	5.34	5.85	7.81
YIL090W	ICE2	21.65	22.09	4.84	10.7	11.36	10.18	11.27
YIL088C	AVT7	9.25	9.41	6.25	15.06	38.23	35.72	20.27
YIL087C	YIL087C	2.74	3.15	2.27	9.13	13.53	18.85	8.2
YIL085C	KTR7	24.55	21.21	6.39	17.07	20.37	25	23.26
YIL083C	YIL083C	16.07	16.35	7.96	19.08	22.41	26.88	14.01
YIL079C	AIR1	21.95	23.13	3.08	6.04	7.15	2.74	2.54
YIL078W	THS1	55.54	47.65	52.41	86.42	95.77	61.31	25.48
YIL076W	SEC28	22.2	22.08	25.03	57.13	94.71	72.99	33.29
YIL075C	RPN2	36.26	33.42	20.42	37.99	171.41	96.7	40.87
YIL074C	SER33	13.23	13.45	5.99	12.66	41.3	33.17	20.11
YIL070C	MAM33	18.79	16.83	4.54	151.64	29.96	453.12	241.88
YIL068C	SEC6	18.8	21.11	5.38	5.19	10.12	18.81	13.91
YIL066C	RNR3	1.02	0.93	0.85	66.56	308.95	24.26	13.38
YIL065C	FIS1	9.75	9.19	5.03	17.43	41.53	43.99	21.35
YIL064W	YIL064W	17.65	17.03	5.6	6.26	7.39	3.62	0.88
YIL063C	YRB2	14.02	17.3	6.8	33.28	131.37	72.09	33.6
YIL062C	ARC15	35.19	36.05	32.39	81.62	152.69	137.17	57.1
YIL061C	SNP1	11.04	11.12	4.09	8.13	17.4	10.53	4.76
YIL056W	VHR1	12.16	13.56	4.31	363.52	1170.57	171.92	51.2
YIL053W	RHR2	159.07	136.83	117.31	335.45	16671.97	1615.46	356
YIL051C	MMF1	46.49	47.12	82.81	187.19	277.01	217.36	64.04
YIL050W	PCL7	22.56	17.68	6.2	76.92	63.21	29.79	13.66
YIL049W	DFG10	8	9.98	3.62	28.48	9.74	12.03	7.31
YIL048W	NEO1	16.24	18.39	8.53	664.75	155.13	82.46	32.32
YIL047C	SYG1	65.22	50.75	23.72	50.23	112.92	60.3	32.03
YIL046W	MET30	22.47	17.33	3.56	16.27	33.43	16.16	15.56
YIL045W	PIG2	5.43	4.78	1.76	205.2	1376.79	84.79	25.97
YIL044C	AGE2	17.71	21.02	11.9	57.34	74.18	48.17	30.39
YIL043C	CBR1	19.23	16.95	28.77	55.29	50.13	44.76	23.07
YIL042C	PKP1	9.27	6.69	1.3	192.09	24.26	21.55	15.57
YIL041W	GVP36	31.33	36.04	18.99	46.99	66.97	66.33	34.49
YIL040W	APQ12	52.89	61.11	18.05	57.52	67.51	81.76	47.12
YIL038C	NOT3	18.52	21.57	4.66	11.55	27.06	12.41	17.45
YIL036W	CST6	14.62	14.54	3.77	17.58	66.08	28.78	27.81
YIL035C	CKA1	33.28	33.09	8.57	21.53	86.61	86.9	32.31
YIL034C	CAP2	14.47	16.51	9.9	18.08	28.67	22.52	14.32
YIL033C	BCY1	20.14	21.95	10.75	32.73	52.68	47.25	31.47
YIL031W	ULP2	14.75	17.21	2.16	26.21	54.9	20.32	23.05
YIL030C	SSM4	37.5	38.35	14.18	25.87	26.01	29.79	30.2
YIL027C	KRE27	43.24	49.18	19.74	31.65	41.77	105.57	48.03
YIL026C	IRR1	11.95	14.12	3.07	6.65	11.46	12.25	7.86
YIL023C	YKE4	6.31	5.26	1.24	4.18	6.8	5.35	7.11
YIL022W	TIM44	35.5	35.39	7.45	21.11	24.02	11.96	19.74
YIL021W	RPB3	31.79	33.58	8.05	16.97	27.3	22.48	22.06
YIL020C	HIS6	12.51	13.65	3.95	7.28	5.92	6.5	6.55
YIL019W	FAF1	15.81	17.04	2.81	5.58	4.15	1.61	1.16
YIL016W	SNL1	5.36	5.41	5.67	12.46	11.16	14.98	8.21
YIL015W	BAR1	52.29	46.98	12.02	32.17	51.31	26.4	24.69
